HP,450607.73,1198673.0,467411.2,1216649.0
HT,395777.0,1137076.77,397487.26,1141236.34
HU,417072.51,1107878.88,468964.82,1202665.0
HY,320187.87,999504.0,378691.61,1056011.78
HZ,419764.0,1069800.0,422518.53,1074066.88
NA,9123.0,899133.0,101854.0,929405.0
NB,99169.6,899844.59,200559.0,966448.42
NC,197965.14,897548.0,303922.0,974728.35
ND,298723.92,913071.78,352556.71,1002503.4
NF,9123.0,799621.35,101259.93000000001,900127.54
NG,99327.31,795966.12,203638.72,900446.0
NH,190571.71,795662.4400000001,302032.34,901338.0
NJ,298529.0,797372.9500000001,401451.65,871270.88
NK,398766.0,824424.8200000001,413997.94,867419.0
NL,62427.87,738914.51,101052.45,800311.99
NM,99546.1,699453.25,206354.76,800452.4400000001
NN,192147.79,696679.88,306104.0,805219.42
NO,295484.0,698491.12,394799.64,801843.4400000001
NR,116005.04000000001,606993.0,203077.0,700781.88
NS,194683.18,597002.64,303464.55,703596.0
NT,295488.07,593212.28,402211.9,701998.93
NU,397638.0,596958.6,428638.0,654207.97
NW,196379.62,553785.0,200549.15,572634.87
NX,198255.39,505974.69,301079.2,602358.0
NY,298441.76,493242.93,402638.63,602803.9
NZ,397807.21,497219.29000000004,499865.25,601697.0
SD,304630.13,398947.60000000003,402026.83,504531.62
SE,397733.0,398779.05,504586.56,504818.51
SH,213986.0,298239.57,301428.21,394736.41000000003
SJ,297679.0,298018.0,406874.23,402250.26
SK,396559.84,284391.32,502296.78,404805.76
SM,172414.55000000002,198853.26,201763.0,241301.45
SN,198206.88,199083.27000000002,302068.0,302055.48
SO,297466.0,192269.94,403171.05,303401.72000000003
SP,397289.72000000003,197325.80000000002,502152.15,302654.72000000003
SR,188368.0,192700.75,200387.0,201024.0
SS,198854.61000000002,93609.05,305484.93,202991.78
ST,296640.38,93609.05,409814.7,206370.75
SU,392217.79000000004,98331.42,501272.69,203130.17
SV,87441.91,8045.93,93482.77,16236.44
SW,134247.8,11457.03,201180.47,81106.88
SX,197339.72,35346.47,305707.55,107352.89
SY,299166.77,68413.74,401562.92,101282.22
SZ,398639.75,75413.24,498059.0,102867.5
TA,496118.85000000003,397653.17,542118.83,498673.46
TF,497443.68,298664.5,600920.43,401415.95
TG,598544.0,298000.23,653476.56,345212.25
TL,496212.78,195515.89,603065.04,302682.14
TM,597923.61,199514.67,655563.0,304409.01
TQ,492529.86,99033.84,601786.33,203153.48
TR,586009.34,116618.62,640145.72,201743.44
TV,546612.09,95422.49,562497.0,101416.40000000001
